अबे काले कौवे कभी बकवास करने सए बाज मत आना ।। और कितना गिरोगे ??	1

ये कायर लोग है जो आज इन लोगो के सामने एक आदमी निर्दयता होकर दूसरे व्यक्ति को मार रहा है और ये लोग उसका वीडियो बना रहे है और उस व्यक्ति की मदद के लिए एक भी व्यक्ति आगे नही आया ये आज वो जो बड़े बड़े कैमरो के साथ मीडिया जाता था लेकिन आज नही जाएगा क्योंकि ये हिंदू धर्म का व्यक्ति है	1

बस अब बेचारा बांड्रा ही बेरोजगार बचा भी का अध्यक्ष बना दे न हरामखोर ☝😎	1

तेरा ज्यादा पेट दुख रहा हो तो तू दलित बन जा कर ले धर्म परिवर्तन और बन जा ओर थोड़ा बरनोल लगा ले तेरे पिछवाड़े मे तकलीफ दूर हो जाएगी मोदी से और फिर भी दूर ना हो तो पाकिस्तान चला जा तेरी जेसो की जगह वही है	1

इन दोनों का खतना कब हुआ? मंदिर में तो कभी दिखे नहीं, ये कैसा दोगलापन है धर्मनिरपेक्षता का?	0

चोर चोर bhai भाई	1

कम पीटा,और ज्यादा पीटना चाहिए हरामी गोहत्यारों को।।	1

मेरी मोहब्बत को बकवास कहती है, और हर किसी के साथ मोहब्बत के नाम पर टाइम पास करती है!💔	0

सारे बेइमान कांग्रेस के साथ	1

वो जो भी लगे पर तुमको देख के लगता है कि रंडी ही हो	1

क्यूं वो भी चोकिदार की तरह चोर है क्या जो बोरी चोर लेगी 😛😛😂😂	1

तेजू भाई : PM में बनूगा 🐩 बुआ : PM में बनूगी 👩 ममता बानाें : PM में बनूगी टाेटीचाेर : PM में बनूगा पप्पू गांधी : सब बेबकूफ है जब तक में हूँ तब तक PM माेदी ही रहेंगे 💪	0

"*राममंदिर को लेकर BJP पर तंज कसने वालों से पूछना चाहता हूँ !श्री राम""क्या सिर्फ BJP&amp;RSS वालो के है।और बाकी सब बाबर की औलाद है क्या"	1

उस पप्पू को कौन पूँछता होगा नौट्न्की ही कर रहा होगा	0

साली दोनो की टूटी का कवर नहीं है ।।।	1

जनेऊ तो पहले ही गुड गोबर था	1

😐हर लङकी का इमोशनल वैसी लङकी नहीं 😑😒 😥😓	0

नरेंद्र मोदी की विष्वसनीयता कम हुआ कि नही ये तो हमे नही पता पर तुम्हारे दिमाग मे पूरा गोबर भरा है ये पक्का है जो ऐसी पोस्ट करते रहते हो	0

हरामखोरों को बदलने में अभी काफी समय लगेगा	1

चुतिया तेरे पास और कोई काम नहीं है?	1

इ ससुरुे तो बड़का देशभक्त है अंडभक्त कहा	1

पागल पप्पू 😜😂😂	1

